country,year,lifeExp,pop,gdpPercap,pbi,pbi_recod,gdpPercap_recod
Argentina,1952,62.485,17876956,5911.315053,105676319104.619,Grande,Mediano
Argentina,1957,64.399,19610538,6856.856212,134466639305.962,Grande,Mediano
Argentina,1962,65.142,21283783,7133.166023,151820757736.505,Grande,Mediano
Argentina,1967,65.634,22934225,8052.953021,184688236498.044,Grande,Alto
Argentina,1972,67.065,24779799,9443.038526,233996596623.536,Grande,Alto
Argentina,1977,68.481,26983828,10079.02674,271970723959.561,Grande,Alto
Argentina,1982,69.942,29341374,8997.897412,264010673179.124,Grande,Alto
Argentina,1987,70.774,31620918,9139.671389,289004799538.515,Grande,Alto
Argentina,1992,71.868,33958947,9308.41871,316104097626.698,Grande,Alto
Argentina,1997,73.275,36203463,10967.28195,397053586287.393,Grande,Alto
Argentina,2002,74.34,38331121,8797.640716,337223430799.523,Grande,Alto
Argentina,2007,75.32,40301927,12779.37964,515033625356.566,Grande,Alto
Bolivia,1952,40.414,2883315,2677.326347,7719575216.20031,Grande,Bajo
Bolivia,1957,41.89,3211738,2127.686326,6833571025.29459,Grande,Bajo
Bolivia,1962,43.428,3593918,2180.972546,7838236490.57523,Grande,Bajo
Bolivia,1967,45.032,4040665,2586.886053,10452739933.3452,Grande,Bajo
Bolivia,1972,46.714,4565872,2980.331339,13607811411.4626,Grande,Bajo
Bolivia,1977,50.023,5079716,3548.097832,18023329326.7757,Grande,Mediano
Bolivia,1982,53.859,5642224,3156.510452,17809739028.5253,Grande,Bajo
Bolivia,1987,57.251,6156369,2753.69149,16952740924.5998,Grande,Bajo
Bolivia,1992,59.957,6893451,2961.699694,20416331717.304,Grande,Bajo
Bolivia,1997,62.05,7693188,3326.143191,25588644883.2829,Grande,Bajo
Bolivia,2002,63.883,8445134,3413.26269,28825460794.2505,Grande,Bajo
Bolivia,2007,65.554,9119152,3822.137084,34854649033.8328,Grande,Mediano
Brazil,1952,50.917,56602560,2108.944355,119371649390.549,Grande,Bajo
Brazil,1957,53.285,65551171,2487.365989,163049753284.523,Grande,Bajo
Brazil,1962,55.665,76039390,3336.585802,253711949066.741,Grande,Bajo
Brazil,1967,57.632,88049823,3429.864357,301998949547.859,Grande,Bajo
Brazil,1972,59.504,100840058,4985.711467,502759433503.545,Grande,Mediano
Brazil,1977,61.489,114313951,6660.118654,761344477467.542,Grande,Mediano
Brazil,1982,63.336,128962939,7030.835878,906717258453.525,Grande,Mediano
Brazil,1987,65.205,142938076,7807.095818,1115931255372.57,Grande,Alto
Brazil,1992,67.057,155975974,6950.283021,1084077163776.14,Grande,Mediano
Brazil,1997,69.388,168546719,7957.980824,1341291557750.12,Grande,Alto
Brazil,2002,71.006,179914212,8131.212843,1462920751252.62,Grande,Alto
Brazil,2007,72.39,190010647,9065.800825,1722598680331.38,Grande,Alto
Canada,1952,68.75,14785584,11367.16112,168070115581.294,Grande,Alto
Canada,1957,69.96,17010154,12489.95006,212455973972.909,Grande,Alto
Canada,1962,71.3,18985849,13462.48555,255596717816.982,Grande,Alto
Canada,1967,72.13,20819767,16076.58803,334710816939.589,Grande,Alto
Canada,1972,72.88,22284500,18970.57086,422749686329.67,Grande,Alto
Canada,1977,74.21,23796400,22090.88306,525683489648.984,Grande,Alto
Canada,1982,75.76,25201900,22898.79214,577093069633.066,Grande,Alto
Canada,1987,76.86,26549700,26626.51503,706925986091.991,Grande,Alto
Canada,1992,77.95,28523502,26342.88426,751391311875.879,Grande,Alto
Canada,1997,78.61,30305843,28954.92589,877503438098.975,Grande,Alto
Canada,2002,79.77,31902268,33328.96507,1063269575825.78,Grande,Alto
Canada,2007,80.653,33390141,36319.23501,1212704377996.04,Grande,Alto
Chile,1952,54.745,6377619,3939.978789,25127683584.3234,Grande,Mediano
Chile,1957,56.074,7048426,4315.622723,30418347406.984,Grande,Mediano
